ID,Lemma,Concepticon_ID,Semantic_Field,Part_Of_Speech
L-0,"mouth, aperture",674,physical somatic body part human,noun
L-2,"ship, sailor",740,,noun
L-3,to forget,1523,,verb
L-4,to be amazed,,,verb
L-5,to make ready,,,verb
L-7,white,1335,,adjective
L-8,I,1209,,pronoun
L-9,heart,1223,physical somatic body part human,noun
L-10,to insult,3204,,verb
L-11,new,1231,,adjective
L-12,"to sit, remain, live",1416,,verb
L-14,"to shine, appear",,,
L-15,truth,,,
L-16,"to bind, mend",,,
L-17,"to strive, gird oneself",,,
L-18,quickly,,,
L-19,"water, river",,,
L-20,"mouth, lips",,,
L-21,to say,,,
L-22,interior,,,
L-23,"to do, make",,,
L-25,friend,,,
L-26,wing,,,
L-28,"alone, self, only",,,
L-29,father,,,
L-30,to catch (with net),,,
L-31,to take,,,
L-32,to bear,,,
L-33,"wave, waterfall",,,
L-35,"rain, sky",,,
L-36,island,,,
L-37,daughter,,,
L-38,morrow,,,
L-39,to measure,,,
L-40,water,,,
L-41,sweet,,,
L-42,to bite,,,
L-43,to become (inchoative),,,
L-44,to be sharp(?),,,
L-45,father-in-law,,,
L-46,to live,,,
L-47,"meat, flesh",,,
L-48,"to split, crack",,,
L-49,to open,,,
L-50,"to cede, forgive",,,
L-51,to cause,,,
L-52,middle,,,
L-53,scent,,,
L-54,to smell sweet,,,
L-55,servant,,,
L-56,reed,,,
L-57,red,,,
L-58,"to roll up, away",,,
L-59,good,,,
L-60,(maternal) uncle,,,
L-61,to be near,,,
L-62,thorn,,,
L-63,small,,,
L-64,to fix,,,
L-65,way,,,
L-67,"grass, crop",,,
L-68,to be silent,,,
L-69,six,,,
L-71,shield,,,
L-72,"earth, ground, place",,,
L-73,to murmur,,,
L-74,to perceive with ear or nose,,,
L-75,to build,,,
L-76,"to shake, move, take a step",,,
L-77,"to touch, be next to each other",,,
L-78,path,,,
L-79,great,,,
L-80,to disappear,,,
L-81,threshing floor,,,
L-82,"to exist, be present",,,
L-83,to be bound,,,
L-84,to cover,,,
L-85,"green, unripe",,,
L-86,to die,,,
L-87,great in quantity,,,
L-89,to fall,,,
L-90,five,,,
L-91,ten,,,
L-92,god,,,
L-93,now,,,
L-94,salt,,,
L-95,"to take, pick up, raise",,,
L-96,to pasture,,,
L-97,to proclaim,,,
L-98,to fear,,,
L-99,"to shed, sow",,,
L-100,to exchange,,,
L-101,we,,,
L-102,to follow,,,
L-103,home town,,,
L-104,sun,,,
L-105,country,,,
L-106,"to be able, overcome",,,
L-107,elder brother,,,
L-108,younger brother,,,
L-109,to know,,,
L-110,hand,,,
L-112,fire,,,
L-113,near,,,
L-114,to tell,,,
L-115,to wait,,,
L-116,"to bring, lead",,,
L-117,"woman, wife",,,
L-118,to say,,,
L-119,wheat,,,
L-120,millet (Pennisetum typhoideum),,,
L-121,"to be, exist, live",,,
L-122,this,,,
L-123,mother,,,
L-124,daughter of the mother,,,
L-125,woman's child,,,
L-126,right (hand),,,
L-127,to forget,,,
L-128,you (sg.),,,
L-129,"to sow, plant",,,
L-131,forty,,,
L-132,"dust, dry earth",,,
L-133,"to beg, ask",,,
L-134,"to take, receive",,,
L-135,kettle,,,
L-136,female sheep,,,
L-137,"man, person",,,
L-138,to send,,,
L-139,scorpion,,,
L-141,"sorghum, durra (Sorghum)",,,
L-142,"cursed, bad",,,
L-143,to scatter,,,
L-144,"to ripen, cook",,,
L-145,to carry,,,
L-146,to get/be warm,,,
L-147,to eat,,,
L-148,north(ern),,,
L-149,"to be, become",,,
L-150,knife,,,
L-151,"to appear, show oneself",,,
L-152,"to break, divide",,,
L-153,"to grasp, hold",,,
L-154,to draw water,,,
L-155,"to take away, wipe away",,,
L-156,to throw,,,
L-157,lamb,,,
L-158,to seek,,,
L-159,horse,,,
L-160,to ascend,,,
L-161,"limit, peak, end",,,
L-162,four,,,
L-163,heel,,,
L-164,cubit,,,
L-165,to gather,,,
L-166,winter,,,
L-167,to touch,,,
L-168,to come,,,
L-169,church,,,
L-170,stone,,,
L-171,(piece of) cloth,,,
L-173,"lack, deficiency, smallness",,,
L-174,to have,,,
L-175,"tree, wood",,,
L-176,"alone, pure",,,
L-177,seven,,,
L-178,"hill, heap",,,
L-179,left (hand),,,
L-180,wound,,,
L-181,feast,,,
L-182,"shepherd, herder",,,
L-185,seed,,,
L-186,face,,,
L-187,(second) wife,,,
L-188,"ankle, elbow",,,
L-189,"cavity, hole, well",,,
L-190,"mountain, hill",,,
L-191,ring,,,
L-192,to learn,,,
L-193,egg,,,
L-194,"to be happy, laugh",,,
L-195,"to open, loosen, release",,,
L-196,to go up,,,
L-197,"lie, falsehood",,,
L-198,"every, all",,,
L-199,that,,,
L-200,to be unable,,,
L-201,good,,,
L-202,to be without,,,
L-203,"then, therefore",,,
L-204,east(ern),,,
L-205,eye,,,
L-206,"to cut, circumcize",,,
L-207,"to walk, run, be hasty",,,
L-208,"to get full, fill up",,,
L-209,to not be,,,
L-210,good,,,
L-211,what?,,,
L-212,to bear (a child),,,
L-213,to fast (not eating),,,
L-214,to hate,,,
L-215,"artab, measure",,,
L-216,"jackal, hyena",,,
L-217,dog,,,
L-218,to shake?,,,
L-219,"horse, donkey",,,
L-220,night,,,
L-221,breast,,,
L-222,"man, husband",,,
L-223,to feel pain,,,
L-224,"foot, leg",,,
L-225,thirst,,,
L-226,to call,,,
L-227,to be on,,,
L-228,to hang (up),,,
L-229,to count,,,
L-230,to love,,,
L-231,male (animal),,,
L-232,head,,,
L-233,king,,,
L-234,south(ern),,,
L-235,"sheep, possession, livestock",,,
L-236,"to take out, take off, release",,,
L-237,nine,,,
L-238,slave,,,
L-239,"to weep, tear",,,
L-240,"to call, summon",,,
L-241,to jump,,,
L-242,"attention, mind",,,
L-243,"morning, tomorrow",,,
L-244,to row,,,
L-245,wadi,,,
L-246,dark,,,
L-247,to throw,,,
L-248,one,,,
L-249,distant,,,
L-250,to return,,,
L-251,second,,,
L-252,to exchange,,,
L-253,star,,,
L-254,day (of 24h),,,
L-255,"ear, leaf",,,
L-256,"moon, month",,,
L-257,"thought, insight, wisdom",,,
L-258,two,,,
L-259,you (pl),,,
L-260,to press,,,
L-261,to bend,,,
L-262,"to place, bear (a child)",,,
L-263,"to lay, put",,,
L-264,to blow,,,
L-265,to divide,,,
L-266,sword,,,
L-267,to transgress,,,
L-269,onion,,,
L-270,"wide, outside",,,
L-271,to write,,,
L-272,power,,,
L-273,(my) father,,,
L-274,old,,,
L-275,"valley, cultivated depression",,,
L-276,"land, plot",,,
L-277,dried-up watercourse,,,
L-278,to separate,,,
L-279,"to cease, end",,,
L-280,to rise,,,
L-281,"to grow, rise, emerge",,,
L-282,"to loosen, free",,,
L-283,"date, date palm",,,
L-284,"to lie, remain",,,
L-285,friend,,,
L-286,to awaken,,,
L-287,"to shine, flash",,,
L-288,"to sprinkle, splash",,,
L-289,dung,,,
L-290,wide,,,
L-291,"all, every",,,
L-292,"to pour, to drop",,,
L-293,lame,,,
L-294,jar,,,
L-295,to speak,,,
L-296,to winnow,,,
L-297,to take up,,,
L-298,writing,,,
L-299,to descend,,,
L-300,empty,,,
L-301,to come,,,
L-302,"girl, daughter",,,
L-303,to be covered,,,
L-304,quickly,,,
L-305,"to disappear, get lost",,,
L-306,"he, she, it",,,
L-307,to touch,,,
L-308,"to bless, praise",,,
L-309,to call,,,
L-310,name,,,
L-311,"to glow, be very hot",,,
L-312,"tomb, grave",,,
L-314,key,,,
L-315,"to sit, stay",,,
L-317,deep,,,
L-318,"to gather, assemble",,,
L-319,head of cattle,,,
L-320,west(ern),,,
L-321,wave,,,
L-322,to give (to 2/3sg),,,
L-323,to give (to 1sg),,,
L-324,to hate,,,
L-325,"to cease, depart, forgive",,,
L-326,farmer,,,
L-327,"child, son",,,
L-328,"to strike, beat, hit",,,
L-329,belly,,,
L-330,to drive away,,,
L-331,wind,,,
L-332,to curse,,,
L-333,three,,,
L-334,to spit,,,
L-335,"to plough, furrow",,,
L-336,"to swim, bathe",,,
L-337,"lance, spear",,,
L-338,"door, gate",,,
L-341,"money, silver",,,
L-343,"affair, matter, thing",,,
L-344,to buy/sell,,,
L-345,to wash,,,
L-346,year,,,
L-347,"to remember, think",,,
L-348,"to get full, fill",,,
L-349,"to strike, play instrument",,,
L-350,to go,,,
L-351,"to schlaughter, sacrifice",,,
L-352,to burn,,,
L-353,pregnant,,,
L-354,nephew (son of sister),,,
L-355,who?,,,
L-356,to deny,,,
L-357,to see,,,
L-358,son,,,
L-359,to sleep,,,
L-360,"skin, hide",,,
L-361,"side, shore",,,
L-362,to hold,,,
L-363,long,,,
L-364,desert,,,
L-365,to drink,,,
L-366,cloud,,,
L-367,house,,,
L-368,old,,,
L-369,to cut,,,
L-370,termite,,,
L-372,"to go, go along",,,
L-373,to swallow,,,
L-374,Nubian,,,
L-375,"very small, fine",,,
L-376,shade,,,
L-377,ear (of grain),,,
L-378,to say,,,
L-379,ashes,,,
L-380,bark (of tree),,,
L-381,bat,,,
L-382,beard,,,
L-383,to belch,,,
L-384,big,,,
L-385,bitter,,,
L-386,black,,,
L-387,blind,,,
L-388,body,,,
L-389,bone,,,
L-390,"bowels, intestines",,,
L-391,breast (female),,,
L-392,to bury,,,
L-393,calf,,,
L-394,chameleon,,,
L-395,charcoal,,,
L-396,to cut off,,,
L-397,cold,,,
L-398,evening,,,
L-399,excrement,,,
L-400,"to fight, wage war",,,
L-401,(finger)nail,,,
L-402,fish,,,
L-403,court,,,
L-404,"to get drunk, intoxicated",,,
L-405,"hateful, bad",,,
L-406,iron,,,
L-407,"to blow, breathe",,,
L-408,to inherit,,,
L-409,"to roast, grill",,,
L-410,loaf,,,
L-411,to enter,,,
L-412,"to grow, get up",,,
L-413,"hair, plumage, wool",,,
L-414,hare,,,
L-415,"to hear, smell",,,
L-416,heavy,,,
L-417,"to hit, slap, strike",,,
L-418,kidney,,,
L-419,to kill,,,
L-420,knee,,,
L-422,many,,,
L-423,to marry,,,
L-424,milk,,,
L-425,"to milk, squeeze",,,
L-426,"neck, nape",,,
L-427,nose,,,
L-428,"butter, fat, oil, abundance",,,
L-429,to paint (with color),,,
L-430,"to pierce, insert",,,
L-431,"rib, side",,,
L-432,river,,,
L-433,root,,,
L-434,rope,,,
L-435,"mud, sand",,,
L-436,"to scratch, scrape",,,
L-437,to sow,,,
L-438,to sing,,,
L-439,(bad) smell,,,
L-440,to sneeze,,,
L-441,to snore,,,
L-442,spider,,,
L-443,to split,,,
L-444,to speak,,,
L-445,"to stand, stop, remain",,,
L-446,to suck,,,
L-447,tail,,,
L-448,to taste,,,
L-450,tongue,,,
L-451,tooth,,,
L-452,twin,,,
L-453,udder,,,
L-454,urine,,,
L-455,"vein, sinew",,,
L-456,vulture,,,
L-457,"to go, walk",,,
L-458,worm,,,
L-459,yesterday,,,
L-460,bird,,,
L-461,blood,,,
L-462,brains,,,
L-463,deaf,,,
L-464,to dry,,,
L-465,eight,,,
L-466,to grind,,,
L-467,fly (insect),,,
L-468,she-goat,,,
L-469,horn,,,
L-470,lake,,,
L-471,locust,,,
L-472,shoe,,,
L-473,snake,,,
L-474,summer,,,
L-475,trunk (of tree),,,
L-477,"to want, love",,,
L-478,to gather,,,
L-479,hundred,,,
L-480,iron,,,
L-481,mother-in-law,,,
L-482,paternal uncle,,,
L-483,back of body,,,
L-484,to steal,,,
L-485,horse,,,
L-487,"to set fire, burn",,,
L-488,"he, she, it; they",,,
L-489,warm,,,
L-491,"hyena, crocodile",,,
L-492,to take,,,
L-493,to dance,,,
L-494,god-creator,,,
L-495,elephant,,,
L-496,"fence, enclosure",,,
L-497,"to bear (a child), breastfeed?",,,
L-498,to be hungry,,,
L-499,female,,,
L-500,strong,,,
L-501,strong,,,
L-502,ant,,,
L-503,brother,,,
L-504,wet,,,
L-505,smoke,,,
L-506,grandmother,,,
L-507,grass,,,
L-508,man (vir),,,
L-509,guest,,,
L-510,"he, she, it; they",,,
L-511,to throw toward,,,
L-512,to milk,,,
L-513,"speech, word",,,
L-514,to wash,,,
L-515,"clay, mud",,,
L-516,lion,,,
L-517,leopard,,,
L-518,bad,,,
L-519,millet (Sorghum vulgare),,,
L-520,navel,,,
L-521,eye,,,
L-522,to open,,,
L-523,to speak,,,
L-524,to fear,,,
L-525,louse,,,
L-526,snake,,,
L-527,"mouse, rat",,,
L-528,old,,,
L-529,to find,,,
L-530,dream,,,
L-531,liver,,,
L-532,barley,,,
